employee_id,employee_name,department,sales,month
1,Aisha,Sales,12000,2024-01
2,Rohan,Sales,15000,2024-01
3,Meera,Tech,18000,2024-01
4,Arjun,Tech,16000,2024-01
5,Kavya,HR,8000,2024-01
6,Dev,HR,9000,2024-01
7,Aisha,Sales,14000,2024-02
8,Rohan,Sales,17000,2024-02
9,Meera,Tech,20000,2024-02
10,Arjun,Tech,15000,2024-02
11,Kavya,HR,9500,2024-02
12,Dev,HR,10000,2024-02
13,Aisha,Sales,16000,2024-03
14,Rohan,Sales,15500,2024-03
15,Meera,Tech,22000,2024-03
16,Arjun,Tech,17000,2024-03
17,Kavya,HR,10000,2024-03
18,Dev,HR,11000,2024-03
19,Aisha,Sales,17500,2024-04
20,Rohan,Sales,18000,2024-04
21,Meera,Tech,21000,2024-04
22,Arjun,Tech,19000,2024-04
23,Kavya,HR,10500,2024-04
24,Dev,HR,11500,2024-04
